id,birth_year
1,1972
2,1970
3,1953
4,1959
5,1971
6,1972
8,1975
9,1959
10,1974
11,1962
12,1970
13,1962
14,1974
15,1958
16,1956
19,1967
20,1964
21,1951
22,1975
23,1970
24,1960
25,1981
26,1972
27,1962
28,1963
29,1966
30,1974
31,1954
32,1958
33,1961
34,1963
35,1952
36,1958
37,1962
38,1953
39,1975
40,1960
41,1968
42,1967
43,1966
44,1982
45,1970
46,1982
47,1961
48,1964
49,1964
50,1969
51,1971
52,1944
53,1954
54,1982
55,1969
56,1948
57,1959
58,1968
59,1964
60,1988
61,1997
62,1983
63,1994
64,1986
65,1985
66,1994
67,1987
68,1989
69,1994
70,1987
71,1986
72,1989
73,1985
74,1994
75,1937
76,1926
77,1955
78,1967
79,1966
80,1982
81,1973
82,1961
83,1969
84,1983
85,1959
86,1953
